Trial No.,Arena No.,Rep,Species,Treatment,Location of Treatment,Location of Treatment,Distance moved (cm),Velocity (cm/s),Frequency of entering Kernel Zone 2,Cumulative Duration in Kernel Zone 2 (s),Latency to First Entrance of Kernel Zone 2 (s),Frequency of entering Kernel Zone 1,Cumulative Duration in Kernel Zone 1 (s),Latency to First Entrance of Kernel Zone 1 (s),Frequency of entering  Zone 2,Cumulative Duration in Zone 2 (s),Latency to First Entrance of Zone 2 (s),Frequency of entering  Zone 1,Cumulative Duration in Zone 1 (s),Latency to First Entrance of Zone 1 (s),Movement,Turn angle
Trial    21,Arena 3,16,CB,AF grain vs. Ctrl,Zone 2,Kernel Zone 2,1.50582,0.000903738,0,0,-,0,0,-,79,1541.82,232.598,92,200.498,0,1716.65,-
Trial    23,Arena 5,18,CB,FS grain vs. Ctrl,Zone 2,Kernel Zone 2,3.52365,0.0021227,0,0,-,0,0,-,88,764.426,389.863,96,980.024,0,1717.52,-
Trial    12,Arena 5,7,CB,Normal Grain vs. Ctrl,Zone 2,Kernel Zone 2,4.0265,0.0476138,0,0,-,0,0,-,0,0,-,4,85.8658,0,85.1325,-
Trial    18,Arena 2,13,CB,UV Sterilized Grain vs. Ctrl,Zone 2,Kernel Zone 2,5.52015,0.00307213,0,0,-,0,0,-,4,1799.82,0,0,0,-,1798.98,-
Trial    15,Arena 2,10,CB,Normal Grain vs. Ctrl,Zone 2,Kernel Zone 2,7.03647,0.00391231,0,0,-,0,0,-,1,1800.05,0,0,0,-,1799.55,-
Trial    22,Arena 2,17,CB,AF grain vs. Ctrl,Zone 2,Kernel Zone 2,11.5988,0.0272383,0,0,-,0,0,-,3,97.9657,294.164,2,330.297,0,427.129,-
Trial    17,Arena 2,12,CB,AF grain vs. Ctrl,Zone 2,Kernel Zone 2,15.1453,0.00856547,0,0,-,0,0,-,3,1769.88,0,0,0,-,1768.78,-
Trial     8,Arena 1,3,CB,AF grain vs. Ctrl,Zone 2,Kernel Zone 2,16.2033,0.00978232,0,0,-,1,3.66663,131.765,2,1517.32,140.499,1,140.499,0,1656.68,-
Trial    20,Arena 4,15,CB,AF grain vs. Ctrl,Zone 2,Kernel Zone 2,16.2244,0.0104873,31,1039.22,35.3996,10,6.1666,61.766,322,1329.62,0,141,398.363,29.4664,1631.25,175.982
Trial     9,Arena 3,4,CB,Normal Grain vs. Ctrl,Zone 2,Kernel Zone 2,19.1404,0.0107182,0,0,-,0,0,-,3,129.999,19.6331,3,1657.35,0,1786.02,-
Trial    23,Arena 1,18,CB,AF grain vs. Ctrl,Zone 2,Kernel Zone 2,20.419,0.0161141,16,15.4998,1570.55,7,3.1333,757.092,350,410.863,0,386,1084.26,192.398,1369.69,178.042
Trial    20,Arena 3,15,CB,FS grain vs. Ctrl,Zone 2,Kernel Zone 2,23.3161,0.0158892,8,17.2998,1466.39,0,0,-,92,881.558,429.762,93,762.526,0,1596.05,-
Trial     9,Arena 2,4,CB,Ctrl vs. Ctrl,Zone 2,Kernel Zone 2,23.3772,0.0129973,0,0,-,0,0,-,1,90.4991,4.33329,2,1709.55,0,1798.48,-
Trial    23,Arena 2,18,CB,UV Sterilized Grain vs. Ctrl,Zone 2,Kernel Zone 2,26.9924,0.0346519,5,5.56661,361.496,8,13.0999,337.397,317,583.594,2.69997,410,765.326,0,1115.52,-
Trial     5,Arena 1,1,CB,Normal Grain vs. Ctrl,Zone 2,Kernel Zone 2,27.9697,0.0155533,0,0,-,0,0,-,1,67.766,35.633,3,1732.25,0,1798.12,-
Trial    20,Arena 1,15,CB,Ctrl vs. Ctrl,Zone 2,Kernel Zone 2,29.7173,0.0296612,0,0,-,0,0,-,195,310.93,0,114,776.826,7.23326,1046.29,176.095
Trial    23,Arena 3,18,CB,Ctrl vs. Ctrl,Zone 2,Kernel Zone 2,36.6723,0.0459002,10,9.09991,6.63327,25,15.5332,47.4662,411,692.826,0.299997,1144,839.692,12.2332,1161.96,-
Trial    21,Arena 2,16,CB,FS grain vs. Ctrl,Zone 2,Kernel Zone 2,37.0832,0.0359907,15,22.3664,16.6665,5,5.06662,151.265,284,1150.92,0,214,360.663,143.932,1342.39,-
Trial     7,Arena 3,2,CB,UV Sterilized Grain vs. Ctrl,Zone 2,Kernel Zone 2,48.1942,0.0633723,0,0,-,1,2.46664,1715.95,4,614.627,0,3,146.632,573.994,758.026,-
Trial    22,Arena 3,17,CB,UV Sterilized Grain vs. Ctrl,Zone 2,Kernel Zone 2,49.7594,0.0495897,0,0,-,27,10.3666,400.363,411,486.228,0,709,908.558,28.9997,1177.69,178.783
Trial    20,Arena 5,15,CB,UV Sterilized Grain vs. Ctrl,Zone 2,Kernel Zone 2,50.7346,0.0443644,11,35.2996,1584.55,3,7.83325,0,27,623.794,434.062,20,577.294,0,1186.92,-
Trial     7,Arena 5,2,CB,Normal Grain vs. Ctrl,Zone 2,Kernel Zone 2,53.1796,0.171844,3,1.56665,1659.48,0,0,-,10,202.965,105.199,2,107.966,0,307.164,-
Trial    21,Arena 5,16,CB,Ctrl vs. Ctrl,Zone 2,Kernel Zone 2,69.8491,0.0811263,3,0.599994,1005.92,8,19.1665,1201.25,360,452.995,126.765,559,630.927,0,948.757,166.992
Trial    21,Arena 1,16,CB,Normal Grain vs. Ctrl,Zone 2,Kernel Zone 2,70.208,0.0542921,5,10.5999,545.861,12,4.09996,1138.89,216,645.36,300.43,535,983.49,0,1480.22,176.606
